,user id,question id,statement index,orden,manipulada,deteccion,distancia,variacion agreement,agreement inicial,variacion confianza,confianza inicial,timer
22,41,41,17.0,1.0,0.0,0.0,5.0,0.0,88.0,-3.0,89.0,20398.0
23,41,39,18.0,2.0,1.0,0.0,5.0,-6.0,53.0,8.0,69.0,20066.0
24,41,15,21.0,3.0,0.0,0.0,3.0,0.0,87.0,-4.0,76.0,13637.0
25,41,21,14.0,4.0,1.0,1.0,11.0,4.0,1.0,-5.0,99.0,34226.0
63,42,23,61.0,1.0,0.0,0.0,2.0,0.0,100.0,0.0,100.0,20931.0
64,42,40,59.0,2.0,1.0,0.0,5.0,78.0,11.0,-15.0,86.0,33071.0
65,42,39,55.0,3.0,0.0,0.0,10.0,0.0,11.0,9.0,91.0,12018.0
66,42,41,56.0,4.0,1.0,1.0,10.0,7.0,4.0,1.0,99.0,29684.0
104,43,41,101.0,1.0,0.0,0.0,3.0,0.0,40.0,0.0,100.0,104281.0
105,43,19,97.0,2.0,0.0,0.0,8.0,0.0,100.0,0.0,100.0,42695.0
106,43,40,100.0,3.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,9836.0
107,43,16,102.0,4.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,19854.0
145,44,20,138.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,100.0,20558.0
146,44,23,144.0,2.0,0.0,0.0,2.0,0.0,100.0,0.0,100.0,6711.0
147,44,21,142.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,5190.0
148,44,40,139.0,4.0,1.0,0.0,9.0,-48.0,74.0,17.0,83.0,4400.0
186,46,20,184.0,1.0,0.0,0.0,2.0,0.0,88.0,0.0,100.0,
187,46,21,180.0,2.0,0.0,0.0,7.0,0.0,90.0,0.0,100.0,
188,46,15,182.0,3.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,
189,46,18,178.0,4.0,0.0,0.0,11.0,0.0,78.0,-10.0,100.0,
227,47,21,219.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,100.0,17189.0
228,47,17,223.0,2.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,10233.0
229,47,41,225.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,8508.0
230,47,39,221.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,100.0,17866.0
268,50,21,262.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,34116.0
269,50,18,265.0,2.0,1.0,1.0,4.0,3.0,14.0,0.0,100.0,104999.0
270,50,16,267.0,3.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,9895.0
271,50,39,261.0,4.0,1.0,0.0,10.0,-50.0,75.0,-54.0,73.0,190808.0
309,52,21,304.0,1.0,0.0,0.0,5.0,0.0,66.0,18.0,58.0,18520.0
310,52,41,308.0,2.0,1.0,1.0,2.0,-4.0,32.0,3.0,66.0,16995.0
311,52,17,305.0,3.0,0.0,0.0,6.0,0.0,87.0,-18.0,87.0,9360.0
312,52,19,302.0,4.0,1.0,1.0,10.0,2.0,66.0,10.0,66.0,17241.0
350,53,40,344.0,1.0,0.0,0.0,6.0,0.0,100.0,9.0,85.0,20212.0
351,53,23,347.0,2.0,0.0,0.0,4.0,0.0,100.0,-13.0,100.0,28056.0
352,53,18,346.0,3.0,0.0,0.0,6.0,0.0,100.0,1.0,90.0,6551.0
353,53,20,349.0,4.0,1.0,0.0,4.0,-6.0,53.0,5.0,52.0,14732.0
391,54,41,388.0,1.0,0.0,0.0,3.0,0.0,31.0,-4.0,78.0,63331.0
392,54,23,383.0,2.0,1.0,1.0,9.0,9.0,25.0,7.0,66.0,39953.0
393,54,20,384.0,3.0,0.0,0.0,9.0,0.0,61.0,-12.0,67.0,26621.0
394,54,16,387.0,4.0,0.0,0.0,7.0,0.0,100.0,0.0,100.0,42395.0
432,56,17,431.0,1.0,0.0,0.0,1.0,0.0,91.0,9.0,86.0,
433,56,18,427.0,2.0,1.0,0.0,6.0,48.0,26.0,12.0,67.0,
434,56,15,430.0,3.0,0.0,0.0,4.0,0.0,100.0,0.0,98.0,
435,56,21,424.0,4.0,1.0,0.0,11.0,-34.0,67.0,-9.0,86.0,
473,57,23,468.0,1.0,0.0,0.0,5.0,0.0,93.0,-9.0,92.0,28518.0
474,57,19,472.0,2.0,0.0,0.0,2.0,0.0,73.0,0.0,93.0,18438.0
475,57,21,469.0,3.0,0.0,0.0,6.0,0.0,60.0,21.0,62.0,10097.0
476,57,17,470.0,4.0,0.0,0.0,6.0,0.0,95.0,-9.0,99.0,14092.0
514,58,18,509.0,1.0,0.0,0.0,5.0,0.0,79.0,1.0,60.0,28123.0
515,58,40,508.0,2.0,0.0,0.0,7.0,0.0,64.0,-3.0,70.0,22231.0
516,58,41,506.0,3.0,0.0,0.0,10.0,0.0,0.0,38.0,62.0,9188.0
517,58,16,512.0,4.0,0.0,0.0,5.0,0.0,74.0,31.0,46.0,5968.0
555,59,21,549.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,10101.0
556,59,22,551.0,2.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,9545.0
557,59,18,554.0,3.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,6567.0
558,59,19,548.0,4.0,0.0,0.0,10.0,0.0,71.0,0.0,100.0,9889.0
596,61,39,590.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,
597,61,15,591.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,
598,61,16,595.0,3.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,
599,61,18,594.0,4.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,
637,63,23,630.0,1.0,0.0,0.0,7.0,0.0,39.0,21.0,38.0,13704.0
638,63,39,635.0,2.0,1.0,0.0,3.0,-40.0,70.0,-10.0,82.0,5742.0
639,63,41,636.0,3.0,0.0,0.0,3.0,0.0,40.0,25.0,48.0,3103.0
640,63,19,632.0,4.0,0.0,0.0,8.0,0.0,100.0,0.0,100.0,5676.0
678,64,41,672.0,1.0,0.0,0.0,6.0,0.0,11.0,-4.0,89.0,
679,64,19,673.0,2.0,1.0,1.0,6.0,-6.0,95.0,-3.0,94.0,
680,64,22,671.0,3.0,0.0,0.0,9.0,0.0,92.0,-5.0,93.0,
681,64,20,675.0,4.0,1.0,0.0,6.0,-38.0,69.0,2.0,87.0,
719,65,18,715.0,1.0,0.0,0.0,4.0,0.0,83.0,11.0,89.0,27007.0
720,65,19,717.0,2.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,23626.0
721,65,41,712.0,3.0,0.0,0.0,9.0,0.0,42.0,60.0,40.0,8126.0
722,65,15,713.0,4.0,1.0,1.0,9.0,0.0,0.0,0.0,100.0,14936.0
760,67,15,756.0,1.0,0.0,0.0,4.0,0.0,22.0,-61.0,90.0,53804.0
761,67,23,759.0,2.0,1.0,1.0,2.0,13.0,74.0,-22.0,93.0,52727.0
762,67,39,752.0,3.0,0.0,0.0,10.0,0.0,59.0,10.0,56.0,29894.0
763,67,17,755.0,4.0,0.0,0.0,8.0,0.0,100.0,-1.0,100.0,18681.0
801,69,20,796.0,1.0,0.0,0.0,5.0,0.0,66.0,0.0,100.0,15031.0
802,69,23,798.0,2.0,0.0,0.0,4.0,0.0,55.0,0.0,100.0,12255.0
803,69,16,797.0,3.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,7615.0
804,69,39,795.0,4.0,0.0,0.0,9.0,0.0,40.0,0.0,100.0,9142.0
842,71,18,834.0,1.0,0.0,0.0,8.0,0.0,90.0,0.0,100.0,38989.0
843,71,21,839.0,2.0,1.0,0.0,4.0,100.0,0.0,0.0,100.0,18617.0
844,71,15,838.0,3.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,25581.0
845,71,17,840.0,4.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,12130.0
883,72,18,881.0,1.0,0.0,0.0,2.0,0.0,80.0,30.0,70.0,40642.0
884,72,41,877.0,2.0,1.0,0.0,7.0,-74.0,87.0,11.0,89.0,13621.0
885,72,22,878.0,3.0,0.0,0.0,7.0,0.0,26.0,0.0,100.0,6669.0
886,72,15,882.0,4.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,21117.0
924,73,20,920.0,1.0,0.0,0.0,4.0,0.0,64.0,8.0,64.0,
925,73,23,917.0,2.0,1.0,0.0,8.0,52.0,24.0,52.0,26.0,
926,73,15,922.0,3.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,
927,73,16,919.0,4.0,1.0,0.0,8.0,-48.0,74.0,-35.0,100.0,
965,75,20,961.0,1.0,0.0,0.0,4.0,0.0,74.0,41.0,59.0,20124.0
966,75,23,960.0,2.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,11869.0
967,75,39,959.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,100.0,11866.0
968,75,40,962.0,4.0,1.0,0.0,6.0,100.0,0.0,0.0,100.0,6642.0
1006,77,16,999.0,1.0,0.0,0.0,7.0,0.0,100.0,0.0,100.0,
1007,77,20,1002.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,100.0,
1008,77,22,1003.0,3.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,
1009,77,18,1004.0,4.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,
1047,78,15,1039.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,100.0,62358.0
1048,78,39,1045.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,100.0,80346.0
1049,78,23,1042.0,3.0,0.0,0.0,7.0,0.0,62.0,15.0,70.0,46628.0
1050,78,18,1040.0,4.0,1.0,0.0,10.0,-38.0,69.0,-6.0,66.0,43860.0
1088,79,22,1081.0,1.0,0.0,0.0,7.0,0.0,100.0,0.0,100.0,
1089,79,41,1085.0,2.0,1.0,0.0,4.0,74.0,13.0,0.0,100.0,
1090,79,17,1086.0,3.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,
1091,79,15,1087.0,4.0,1.0,0.0,4.0,100.0,0.0,0.0,100.0,
1129,81,17,1121.0,1.0,0.0,0.0,8.0,0.0,100.0,0.0,100.0,
1130,81,22,1123.0,2.0,0.0,0.0,7.0,0.0,100.0,4.0,76.0,
1131,81,21,1122.0,3.0,0.0,0.0,9.0,0.0,59.0,5.0,61.0,
1132,81,39,1128.0,4.0,0.0,0.0,4.0,0.0,0.0,81.0,19.0,
1170,83,40,1167.0,1.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,
1171,83,17,1165.0,2.0,0.0,0.0,6.0,0.0,100.0,-27.0,100.0,
1172,83,41,1168.0,3.0,0.0,0.0,4.0,0.0,19.0,20.0,80.0,
1173,83,20,1164.0,4.0,1.0,0.0,9.0,-22.0,61.0,-7.0,72.0,
1211,84,40,1208.0,1.0,0.0,0.0,3.0,0.0,59.0,-19.0,73.0,29494.0
1212,84,21,1209.0,2.0,1.0,0.0,3.0,-14.0,57.0,-23.0,75.0,13909.0
1213,84,15,1206.0,3.0,0.0,0.0,7.0,0.0,56.0,-8.0,63.0,14919.0
1214,84,23,1210.0,4.0,1.0,0.0,4.0,-18.0,59.0,-21.0,72.0,11876.0
1252,86,21,1248.0,1.0,0.0,0.0,4.0,0.0,71.0,0.0,100.0,65142.0
1253,86,16,1251.0,2.0,0.0,0.0,2.0,0.0,100.0,0.0,100.0,33152.0
1254,86,23,1249.0,3.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,20970.0
1255,86,15,1247.0,4.0,1.0,0.0,8.0,100.0,0.0,0.0,100.0,13315.0
1293,87,39,1285.0,1.0,0.0,0.0,8.0,0.0,28.0,0.0,100.0,22729.0
1294,87,41,1289.0,2.0,1.0,0.0,5.0,-20.0,60.0,-15.0,94.0,51274.0
1295,87,40,1290.0,3.0,0.0,0.0,5.0,0.0,79.0,15.0,83.0,8041.0
1296,87,17,1291.0,4.0,0.0,0.0,5.0,0.0,100.0,-2.0,100.0,26904.0
1334,90,23,1331.0,1.0,0.0,0.0,3.0,0.0,62.0,0.0,100.0,18653.0
1335,90,17,1326.0,2.0,1.0,0.0,9.0,-46.0,73.0,43.0,57.0,11697.0
1336,90,21,1328.0,3.0,0.0,0.0,8.0,0.0,0.0,100.0,0.0,8041.0
1337,90,15,1327.0,4.0,0.0,0.0,10.0,0.0,100.0,0.0,100.0,19314.0
1375,93,20,1369.0,1.0,0.0,0.0,6.0,0.0,0.0,-33.0,98.0,
1376,93,17,1370.0,2.0,0.0,0.0,6.0,0.0,100.0,1.0,99.0,
1377,93,22,1374.0,3.0,0.0,0.0,3.0,0.0,69.0,25.0,75.0,
1378,93,21,1372.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,
1416,94,22,1414.0,1.0,0.0,0.0,2.0,0.0,99.0,0.0,100.0,37516.0
1417,94,15,1408.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,100.0,31822.0
1418,94,21,1411.0,3.0,0.0,0.0,7.0,0.0,99.0,0.0,100.0,16460.0
1419,94,18,1415.0,4.0,0.0,0.0,4.0,0.0,99.0,1.0,99.0,10087.0
1457,96,40,1455.0,1.0,0.0,0.0,2.0,0.0,93.0,-24.0,95.0,
1458,96,23,1450.0,2.0,0.0,0.0,8.0,0.0,73.0,-7.0,78.0,
1459,96,15,1456.0,3.0,0.0,0.0,3.0,0.0,54.0,2.0,69.0,
1460,96,20,1453.0,4.0,0.0,0.0,7.0,0.0,27.0,-4.0,68.0,
1498,98,18,1497.0,1.0,0.0,0.0,1.0,0.0,15.0,8.0,76.0,74063.0
1499,98,22,1495.0,2.0,0.0,0.0,4.0,0.0,73.0,-18.0,75.0,39146.0
1500,98,40,1491.0,3.0,0.0,0.0,9.0,0.0,100.0,0.0,100.0,29250.0
1501,98,21,1493.0,4.0,0.0,0.0,8.0,0.0,38.0,5.0,46.0,18477.0
1539,100,16,1536.0,1.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,
1540,100,21,1537.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,100.0,
1541,100,22,1535.0,3.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,
1542,100,41,1532.0,4.0,1.0,1.0,10.0,4.0,21.0,8.0,19.0,
1580,101,41,1573.0,1.0,0.0,0.0,7.0,0.0,70.0,26.0,74.0,28040.0
1581,101,15,1576.0,2.0,0.0,0.0,5.0,0.0,100.0,0.0,100.0,21402.0
1582,101,16,1577.0,3.0,0.0,0.0,5.0,-27.0,100.0,0.0,100.0,30439.0
1583,101,18,1572.0,4.0,0.0,0.0,11.0,0.0,53.0,0.0,100.0,9754.0
1621,102,18,1618.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,42034.0
1622,102,22,1620.0,2.0,0.0,0.0,2.0,0.0,100.0,0.0,100.0,8048.0
1623,102,40,1617.0,3.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,7692.0
1624,102,17,1614.0,4.0,0.0,0.0,10.0,0.0,100.0,0.0,100.0,9086.0
1662,103,19,1654.0,1.0,0.0,0.0,8.0,0.0,100.0,0.0,100.0,
1663,103,39,1658.0,2.0,1.0,0.0,5.0,96.0,2.0,0.0,100.0,
1664,103,16,1657.0,3.0,0.0,0.0,7.0,0.0,100.0,0.0,100.0,
1665,103,41,1659.0,4.0,1.0,0.0,6.0,96.0,2.0,0.0,100.0,
