id,orientacion_politica,polarizacion,genero,edad,religiosidad,fork,pais,conservador/liberal,nivel educativo
41,40.625,62.75,fem,23,69,7,Mexico,32.05401131318046,1.0
42,37.53333333333333,90.5,fem,32,42,7,Mexico,59.85425492218881,2.0
43,57.3,61.25,masc,40,0,7,Mexico,0.0,2.0
44,12.600000000000001,93.5,masc,41,78,7,Mexico,87.75214556948133,2.0
46,52.25,87.5,masc,25,0,8,Mexico,9.427650386229548,1.0
47,8.0,95.0,fem,27,75,8,Mexico,59.85425492218881,1.0
50,70.125,90.25,fem,32,0,7,Mexico,45.25272185390183,1.0
52,47.875,45.75,masc,41,0,7,Mexico,15.084240617967277,2.0
53,38.03333333333334,88.25,masc,27,73,7,Mexico,0.0,2.0
54,54.0,48.0,masc,28,0,7,Mexico,18.855300772459096,2.0
56,57.53333333333334,60.0,fem,21,0,7,Mexico,16.969770695213185,1.0
57,46.6,65.5,masc,39,5,8,Mexico,41.48166169941001,2.0
58,30.25,59.5,masc,21,58,8,Mexico,59.17381856493777,1.0
59,26.25,68.0,fem,28,60,8,Mexico,0.0,1.0
61,25.0,100.0,masc,39,11,8,Mexico,15.084240617967277,2.0
63,63.25,56.5,masc,27,9,7,Mexico,53.04989134967843,1.0
64,39.96666666666667,61.25,masc,29,0,7,Mexico,15.084240617967277,2.0
65,27.375,70.25,masc,43,100,7,Mexico,63.936873065695025,2.0
67,36.625,63.25,fem,38,41,7,Mexico,69.38036392370333,1.0
69,57.625,59.75,fem,18,0,8,Mexico,0.0,0.0
71,34.333333333333336,97.5,masc,49,100,7,Mexico,0.0,1.0
72,65.625,68.75,masc,27,17,7,Mexico,20.740830849705006,1.0
73,65.125,69.75,masc,35,83,7,Mexico,75.50429113896266,2.0
75,12.600000000000001,93.5,masc,31,25,7,Mexico,53.73032770692947,1.0
77,25.0,100.0,fem,57,1,7,Mexico,47.13825193114774,2.0
78,38.75,68.0,fem,52,0,7,Mexico,5.656590231737729,1.0
79,18.1,88.75,masc,32,0,7,Mexico,82.30865471147303,1.0
81,12.733333333333334,82.5,masc,35,73,8,Mexico,50.32814592067429,2.0
83,36.0,70.5,masc,29,0,7,Mexico,50.32814592067429,1.0
84,59.25,29.5,masc,34,69,7,Mexico,47.13825193114774,1.0
86,35.375,82.75,fem,58,98,7,Mexico,32.05401131318046,1.0
87,27.766666666666666,53.75,masc,21,53,7,Mexico,55.09120042143155,1.0
90,49.875,67.25,masc,29,9,7,Mexico,47.13825193114774,1.0
93,45.875,75.25,fem,32,62,8,Mexico,56.45207313593362,2.0
94,25.25,99.0,masc,57,60,8,Mexico,51.68901863517636,1.0
96,40.16666666666667,51.75,fem,47,8,8,Mexico,47.13825193114774,1.0
98,45.25,57.0,masc,23,9,8,Mexico,33.93954139042637,1.0
100,40.0,77.0,fem,27,28,7,Mexico,50.32814592067429,1.0
